alert_event_id,start_time,end_time,duration_records,max_severity_rank,max_severity,duration_minutes,alert_type,alert_message
1,2026-08-30 15:11:00+00:00,2026-08-30 15:11:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
2,2026-08-31 00:09:00+00:00,2026-08-31 00:09:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
3,2026-08-31 08:27:00+00:00,2026-08-31 08:27:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
4,2026-09-01 00:54:00+00:00,2026-09-01 00:54:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
5,2026-09-01 03:28:00+00:00,2026-09-01 03:28:00+00:00,1,2,Medium,0.0,Anomaly,Perubahan tidak biasa terdeteksi oleh dua metode anomaly detection.
6,2026-09-01 04:42:00+00:00,2026-09-01 04:50:00+00:00,8,2,Medium,8.0,Anomaly,Perubahan tidak biasa terdeteksi oleh dua metode anomaly detection.
7,2026-09-01 04:57:00+00:00,2026-09-01 04:57:00+00:00,1,2,Medium,0.0,Anomaly,Perubahan tidak biasa terdeteksi oleh dua metode anomaly detection.
8,2026-09-01 05:05:00+00:00,2026-09-01 05:05:00+00:00,1,2,Medium,0.0,Anomaly,Perubahan tidak biasa terdeteksi oleh dua metode anomaly detection.
9,2026-09-01 08:24:00+00:00,2026-09-01 08:24:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
10,2026-09-01 08:33:00+00:00,2026-09-01 08:38:00+00:00,2,1,Low,5.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
11,2026-09-02 00:25:00+00:00,2026-09-02 00:25:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
12,2026-09-02 01:11:00+00:00,2026-09-02 01:11:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
13,2026-09-02 03:54:00+00:00,2026-09-02 04:00:00+00:00,6,2,Medium,6.0,Anomaly,Perubahan tidak biasa terdeteksi oleh dua metode anomaly detection.
14,2026-09-02 04:12:00+00:00,2026-09-02 04:12:00+00:00,1,2,Medium,0.0,Anomaly,Perubahan tidak biasa terdeteksi oleh dua metode anomaly detection.
15,2026-09-02 08:21:00+00:00,2026-09-02 08:21:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
16,2026-09-02 19:51:00+00:00,2026-09-02 19:51:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
17,2026-09-02 22:19:00+00:00,2026-09-02 22:19:00+00:00,1,2,Medium,0.0,Anomaly,Perubahan tidak biasa terdeteksi oleh dua metode anomaly detection.
18,2026-09-03 00:00:00+00:00,2026-09-03 00:00:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
19,2026-09-03 08:06:00+00:00,2026-09-03 08:06:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
20,2026-09-04 01:03:00+00:00,2026-09-04 01:03:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
21,2026-09-04 03:18:00+00:00,2026-09-04 03:18:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
22,2026-09-04 11:13:00+00:00,2026-09-04 11:13:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
23,2026-09-04 14:05:00+00:00,2026-09-04 14:05:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
24,2026-09-04 19:07:00+00:00,2026-09-04 19:13:00+00:00,7,2,Medium,6.0,Anomaly,Perubahan tidak biasa terdeteksi oleh dua metode anomaly detection.
25,2026-09-04 19:22:00+00:00,2026-09-04 19:22:00+00:00,1,2,Medium,0.0,Anomaly,Perubahan tidak biasa terdeteksi oleh dua metode anomaly detection.
26,2026-09-04 19:34:00+00:00,2026-09-04 19:34:00+00:00,1,2,Medium,0.0,Anomaly,Perubahan tidak biasa terdeteksi oleh dua metode anomaly detection.
27,2026-09-05 21:21:00+00:00,2026-09-05 21:21:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
28,2026-09-05 21:57:00+00:00,2026-09-05 21:57:00+00:00,1,1,Low,0.0,Anomaly,Perubahan tidak biasa terdeteksi pada beberapa parameter kualitas udara.
29,2026-09-06 09:26:00+00:00,2026-09-06 09:32:00+00:00,7,2,Medium,6.0,Anomaly,Perubahan tidak biasa terdeteksi oleh dua metode anomaly detection.
30,2026-09-06 09:41:00+00:00,2026-09-06 09:41:00+00:00,1,2,Medium,0.0,Anomaly,Perubahan tidak biasa terdeteksi oleh dua metode anomaly detection.
