created_at,pm25_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,o3_ugm3,any_zscore_anomaly,zscore_anomaly_count,iforest_anomaly,iforest_score,anomaly_evidence,anomaly_level,anomaly_alert,ispu_total,dominant_pollutant,ispu_category,air_quality_alert,forecast_at,forecast_indicator_total,forecast_dominant_pollutant,forecast_alert,has_alert,alert_type,severity,alert_message,alert_event_id
2026-08-30 13:49:00+00:00,11.31,14.87,2682.45,0.42,20.61,False,0,False,0.1420502909307279,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 13:50:00+00:00,16.18,21.71,2673.63,0.0,73.92,False,0,False,0.1505828826441359,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 13:51:00+00:00,15.33,17.59,2818.74,0.0,21.04,False,0,False,0.2523605887676151,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 13:52:00+00:00,13.2,9.97,2548.78,0.43,21.05,False,0,False,0.1348566094931348,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 13:53:00+00:00,16.7,17.53,2537.62,0.0,80.64,False,0,False,0.1333554724860334,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 13:54:00+00:00,13.81,18.7,2898.32,0.0,19.87,False,0,False,0.1783774472931595,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 13:55:00+00:00,18.81,23.18,2836.53,0.26,85.93,False,0,False,0.073663538137973,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 13:56:00+00:00,17.89,23.0,2593.85,0.0,86.97,False,0,False,0.061771305189499,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 13:57:00+00:00,11.93,10.17,2476.19,0.13,20.4,False,0,False,0.182104715952246,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 13:58:00+00:00,13.16,13.91,2619.71,0.0,20.72,False,0,False,0.229306916215833,None,None,False,,,,False,,,,,False,None,None,,
2026-08-30 13:59:00+00:00,17.01,27.96,2440.41,0.0,86.91,False,0,False,0.0494119179155729,None,None,False,,,,False,,,,,False,None,None,,
