created_at,pm25_ugm3_actual_t60,pm25_ugm3_forecast_t60,pm10_ugm3_actual_t60,pm10_ugm3_forecast_t60,co_ugm3_actual_t60,co_ugm3_forecast_t60,no2_ugm3_actual_t60,no2_ugm3_forecast_t60,o3_ugm3_actual_t60,o3_ugm3_forecast_t60,forecast_at
2026-09-05 11:55:00+00:00,17.4,15.106869,23.32,17.961298,2807.53,2857.6536,0.0,0.0,79.2,52.442245,2026-09-05 12:55:00+00:00
2026-09-05 11:56:00+00:00,8.0,15.306887,9.43,18.1585,2616.17,2847.5957,0.0,0.0,20.84,52.184017,2026-09-05 12:56:00+00:00
2026-09-05 11:57:00+00:00,13.41,15.314551,15.0,17.90305,2852.9,2854.2,0.0,0.0,19.95,49.124,2026-09-05 12:57:00+00:00
2026-09-05 11:58:00+00:00,12.93,15.675904,14.7,19.110865,2674.06,2853.5417,0.58,0.0,57.8,42.704502,2026-09-05 12:58:00+00:00
2026-09-05 11:59:00+00:00,13.1,15.73889,18.74,18.49932,2900.52,2777.8794,0.0,0.07285363,20.67,43.899727,2026-09-05 12:59:00+00:00
2026-09-05 12:00:00+00:00,14.85,15.437886,15.37,18.48554,2758.31,2845.0332,0.0,0.0,21.02,46.72665,2026-09-05 13:00:00+00:00
2026-09-05 12:01:00+00:00,15.39,15.399696,18.94,17.979876,2924.02,2836.963,0.0,0.0,20.85,45.774555,2026-09-05 13:01:00+00:00
2026-09-05 12:02:00+00:00,15.01,15.446156,12.24,18.313524,2903.5,2764.4753,0.0,0.0,20.16,44.275513,2026-09-05 13:02:00+00:00
2026-09-05 12:03:00+00:00,11.5,15.527509,7.63,17.856604,2810.29,2796.7126,0.0,0.0,58.91,44.745903,2026-09-05 13:03:00+00:00
2026-09-05 12:04:00+00:00,14.49,15.506957,22.9,18.271349,2926.28,2797.496,0.18,0.0,20.54,41.483803,2026-09-05 13:04:00+00:00
2026-09-05 12:05:00+00:00,13.73,15.425176,20.8,17.80686,2403.21,2783.9675,0.0,0.0,19.85,49.240196,2026-09-05 13:05:00+00:00
2026-09-05 12:06:00+00:00,15.32,15.340589,16.14,17.894844,2667.78,2850.2297,0.05,0.0,74.02,43.740242,2026-09-05 13:06:00+00:00
2026-09-05 12:07:00+00:00,9.97,15.403238,12.6,18.583393,3004.01,2833.866,0.0,0.0,77.0,43.604614,2026-09-05 13:07:00+00:00
2026-09-05 12:08:00+00:00,12.53,15.367648,13.19,17.953981,2765.43,2825.0405,0.02,0.0,20.01,43.162964,2026-09-05 13:08:00+00:00
2026-09-05 12:09:00+00:00,12.09,15.75841,16.7,17.854929,2568.56,2790.6824,0.0,0.0,20.5,44.782936,2026-09-05 13:09:00+00:00
2026-09-05 12:10:00+00:00,14.53,15.828204,13.59,18.081972,2527.27,2738.973,0.0,0.0,65.93,46.19626,2026-09-05 13:10:00+00:00
2026-09-05 12:11:00+00:00,16.37,15.33117,20.67,17.483215,2765.24,2769.2485,0.0,0.0,20.78,41.482456,2026-09-05 13:11:00+00:00
2026-09-05 12:12:00+00:00,14.47,15.27635,16.86,18.14087,2796.08,2760.4275,0.0,0.0,19.78,49.089233,2026-09-05 13:12:00+00:00
2026-09-05 12:13:00+00:00,11.65,14.932829,13.48,17.882748,2677.23,2757.076,0.0,0.0,20.59,47.217552,2026-09-05 13:13:00+00:00
2026-09-05 12:14:00+00:00,14.08,14.9798,17.55,17.54939,2792.09,2764.8584,0.0,0.0,20.03,45.897808,2026-09-05 13:14:00+00:00
2026-09-05 12:15:00+00:00,14.75,15.198974,18.12,18.165554,3061.48,2740.846,0.0,0.0,75.64,40.826283,2026-09-05 13:15:00+00:00
2026-09-05 12:16:00+00:00,14.11,15.341221,14.01,18.367525,3021.49,2754.7197,0.0,0.0,20.19,46.601204,2026-09-05 13:16:00+00:00
2026-09-05 12:17:00+00:00,16.13,15.344737,19.99,18.254782,2850.23,2760.6602,0.0,0.0,68.72,45.539574,2026-09-05 13:17:00+00:00
2026-09-05 12:18:00+00:00,16.85,16.011295,21.81,18.113539,2904.79,2826.1675,0.0,0.0,65.93,44.28973,2026-09-05 13:18:00+00:00
2026-09-05 12:19:00+00:00,15.14,16.790398,15.29,18.942703,2613.05,2757.2163,0.3,1.6449441,19.99,46.78687,2026-09-05 13:19:00+00:00
2026-09-05 12:20:00+00:00,15.67,16.40652,20.71,18.414434,2617.43,2787.1921,0.73,0.0,86.4,47.133354,2026-09-05 13:20:00+00:00
2026-09-05 12:21:00+00:00,13.27,16.58924,16.03,18.055386,2621.38,2752.0376,0.0,2.9703202,20.12,43.673546,2026-09-05 13:21:00+00:00
2026-09-05 12:22:00+00:00,13.55,16.585974,16.85,18.657553,2908.93,2740.6775,0.0,2.1188836,74.14,44.051697,2026-09-05 13:22:00+00:00
2026-09-05 12:23:00+00:00,16.6,16.578844,21.33,18.913738,2947.54,2744.1555,0.0,0.0,69.95,47.51909,2026-09-05 13:23:00+00:00
