created_at,pm25_ugm3_24h,pm10_ugm3_24h,co_ugm3_24h,no2_ugm3_24h,o3_ugm3_24h,pm25_ispu,pm10_ispu,co_ispu,no2_ispu,o3_ispu,ispu_total,dominant_pollutant,ispu_category
2026-08-30 13:49:00+00:00,,,,,,,,,,,,,
2026-08-30 13:50:00+00:00,,,,,,,,,,,,,
2026-08-30 13:51:00+00:00,,,,,,,,,,,,,
2026-08-30 13:52:00+00:00,,,,,,,,,,,,,
2026-08-30 13:53:00+00:00,,,,,,,,,,,,,
2026-08-30 13:54:00+00:00,,,,,,,,,,,,,
2026-08-30 13:55:00+00:00,,,,,,,,,,,,,
2026-08-30 13:56:00+00:00,,,,,,,,,,,,,
2026-08-30 13:57:00+00:00,,,,,,,,,,,,,
2026-08-30 13:58:00+00:00,,,,,,,,,,,,,
2026-08-30 13:59:00+00:00,,,,,,,,,,,,,
2026-08-30 14:00:00+00:00,,,,,,,,,,,,,
2026-08-30 14:01:00+00:00,,,,,,,,,,,,,
2026-08-30 14:02:00+00:00,,,,,,,,,,,,,
2026-08-30 14:03:00+00:00,,,,,,,,,,,,,
2026-08-30 14:04:00+00:00,,,,,,,,,,,,,
2026-08-30 14:05:00+00:00,,,,,,,,,,,,,
2026-08-30 14:06:00+00:00,,,,,,,,,,,,,
2026-08-30 14:07:00+00:00,,,,,,,,,,,,,
2026-08-30 14:08:00+00:00,,,,,,,,,,,,,
2026-08-30 14:09:00+00:00,,,,,,,,,,,,,
2026-08-30 14:10:00+00:00,,,,,,,,,,,,,
2026-08-30 14:11:00+00:00,,,,,,,,,,,,,
2026-08-30 14:12:00+00:00,,,,,,,,,,,,,
2026-08-30 14:13:00+00:00,,,,,,,,,,,,,
2026-08-30 14:14:00+00:00,,,,,,,,,,,,,
2026-08-30 14:15:00+00:00,,,,,,,,,,,,,
2026-08-30 14:16:00+00:00,,,,,,,,,,,,,
2026-08-30 14:17:00+00:00,,,,,,,,,,,,,
2026-08-30 14:18:00+00:00,,,,,,,,,,,,,
2026-08-30 14:19:00+00:00,,,,,,,,,,,,,
2026-08-30 14:20:00+00:00,,,,,,,,,,,,,
2026-08-30 14:21:00+00:00,,,,,,,,,,,,,
2026-08-30 14:22:00+00:00,,,,,,,,,,,,,
2026-08-30 14:23:00+00:00,,,,,,,,,,,,,
2026-08-30 14:24:00+00:00,,,,,,,,,,,,,
2026-08-30 14:25:00+00:00,,,,,,,,,,,,,
2026-08-30 14:26:00+00:00,,,,,,,,,,,,,
2026-08-30 14:27:00+00:00,,,,,,,,,,,,,
2026-08-30 14:28:00+00:00,,,,,,,,,,,,,
2026-08-30 14:29:00+00:00,,,,,,,,,,,,,
2026-08-30 14:30:00+00:00,,,,,,,,,,,,,
2026-08-30 14:31:00+00:00,,,,,,,,,,,,,
2026-08-30 14:32:00+00:00,,,,,,,,,,,,,
2026-08-30 14:33:00+00:00,,,,,,,,,,,,,
2026-08-30 14:34:00+00:00,,,,,,,,,,,,,
2026-08-30 14:35:00+00:00,,,,,,,,,,,,,
2026-08-30 14:36:00+00:00,,,,,,,,,,,,,
2026-08-30 14:37:00+00:00,,,,,,,,,,,,,
2026-08-30 14:38:00+00:00,,,,,,,,,,,,,
2026-08-30 14:39:00+00:00,,,,,,,,,,,,,
2026-08-30 14:40:00+00:00,,,,,,,,,,,,,
2026-08-30 14:41:00+00:00,,,,,,,,,,,,,
2026-08-30 14:42:00+00:00,,,,,,,,,,,,,
2026-08-30 14:43:00+00:00,,,,,,,,,,,,,
2026-08-30 14:44:00+00:00,,,,,,,,,,,,,
2026-08-30 14:45:00+00:00,,,,,,,,,,,,,
2026-08-30 14:46:00+00:00,,,,,,,,,,,,,
2026-08-30 14:47:00+00:00,,,,,,,,,,,,,
2026-08-30 14:48:00+00:00,,,,,,,,,,,,,
