Feature,Importance
pm25_ugm3_roll_std_60,0.1339604
dow_sin,0.0945683
co_ugm3_roll_std_60,0.06046871
pm10_ugm3_roll_mean_60,0.05397971
co_ugm3_roll_mean_30,0.041510787
pm25_ugm3_roll_std_30,0.039939027
pm10_ugm3_roll_std_60,0.038393885
o3_ugm3_roll_std_60,0.03696753
hour_cos,0.035053883
co_ugm3_roll_mean_60,0.033510495
o3_ugm3_roll_mean_30,0.028417505
o3_ugm3_roll_std_10,0.022514952
pm10_ugm3_roll_std_10,0.02151599
no2_ugm3_roll_mean_60,0.02107572
co_ugm3_lag_30,0.020311734
no2_ugm3_roll_std_10,0.01908886
pm10_ugm3_roll_std_30,0.018678056
no2_ugm3_roll_std_60,0.017523034
pm25_ugm3_roll_mean_30,0.016831437
co_ugm3_roll_std_30,0.015412878
no2_ugm3_roll_std_30,0.015096761
pm10_ugm3_roll_mean_30,0.014959932
pm25_ugm3_roll_mean_60,0.014432316
no2_ugm3_roll_mean_30,0.013161554
o3_ugm3_roll_mean_10,0.013099529
co_ugm3_roll_mean_10,0.012137524
pm25_ugm3_roll_std_10,0.010397231
o3_ugm3,0.0098966835
pm25_ugm3_roll_mean_10,0.007424353
no2_ugm3_roll_mean_10,0.0065720924
o3_ugm3_lag_60,0.0058380556
no2_ugm3_lag_10,0.005521466
co_ugm3_lag_10,0.005139194
o3_ugm3_lag_30,0.004835574
pm10_ugm3_roll_mean_10,0.0048077917
temperature,0.00479287
o3_ugm3_roll_mean_60,0.0046854443
o3_ugm3_roll_std_30,0.00457379
pm25_ugm3_lag_30,0.0042768503
hour_sin,0.0040396485
pm25_ugm3_lag_60,0.004005269
co_ugm3_roll_std_10,0.0037233913
pm10_ugm3,0.0036566404
pm25_ugm3_lag_10,0.003416526
co_ugm3,0.0034014564
co_ugm3_lag_60,0.0033607266
no2_ugm3_lag_30,0.0033302975
pm10_ugm3_lag_30,0.0033262158
pm10_ugm3_lag_1,0.003204463
pm25_ugm3_lag_1,0.003172722
humidity,0.003009643
o3_ugm3_lag_10,0.0029758592
pm10_ugm3_lag_10,0.0028880571
pm25_ugm3,0.002856357
no2_ugm3_lag_60,0.002855378
pm10_ugm3_lag_60,0.0027496202
no2_ugm3,0.0026891644
no2_ugm3_lag_1,0.0026703076
co_ugm3_lag_1,0.0026626335
o3_ugm3_lag_1,0.0023598268
dow_cos,0.002273838
