hour_bucket,pm25_avg,pm25_max,pm10_avg,pm10_max,co_avg,co_max,no2_avg,o3_avg,temperature_avg,humidity_avg
2026-08-30T13:00:00+00:00,15.03,18.81,18.05,27.96,2647.84,2898.32,0.11,48.91,38.22,51.92
2026-08-30T14:00:00+00:00,15.32,20.84,17.6,25.19,2691.98,3004.02,0.12,46.88,37.71,53.96
2026-08-30T15:00:00+00:00,14.81,22.68,17.25,25.47,2682.58,3115.45,0.12,36.39,37.62,54.35
2026-08-30T16:00:00+00:00,15.1,20.98,17.37,27.08,2781.92,3171.69,0.11,31.15,36.77,56.5
2026-08-30T17:00:00+00:00,15.74,21.11,17.82,26.81,2934.52,3269.67,0.15,26.36,36.2,57.74
2026-08-30T18:00:00+00:00,15.24,20.69,17.96,27.62,3129.14,3551.08,0.17,22.8,35.34,59.86
2026-08-30T19:00:00+00:00,14.92,20.51,16.94,31.87,3269.69,3526.19,0.23,20.17,34.59,62.27
2026-08-30T20:00:00+00:00,15.1,22.85,17.03,28.0,3277.73,3560.51,0.18,19.99,33.86,63.6
2026-08-30T21:00:00+00:00,14.75,20.93,16.52,29.85,3132.37,3424.71,0.18,20.02,33.47,63.94
2026-08-30T22:00:00+00:00,15.25,21.6,17.46,26.62,2902.7,3269.93,50.75,20.14,33.33,65.41
2026-08-30T23:00:00+00:00,15.33,23.13,17.49,26.01,2792.2,3066.3,0.07,20.27,33.02,65.56
2026-08-31T00:00:00+00:00,15.25,29.63,17.83,37.63,2669.86,3027.47,0.17,20.1,32.87,66.52
2026-08-31T01:00:00+00:00,15.48,25.71,17.43,32.64,2623.47,3055.96,0.2,20.03,33.0,65.8
2026-08-31T02:00:00+00:00,15.95,23.9,18.64,32.26,2647.22,2993.51,0.17,19.99,33.08,66.59
2026-08-31T03:00:00+00:00,15.1,22.98,16.9,27.3,2673.1,3033.83,0.09,19.99,32.93,66.1
2026-08-31T04:00:00+00:00,15.26,22.14,18.11,25.95,2682.14,2963.85,0.07,20.04,33.42,65.36
2026-08-31T05:00:00+00:00,15.06,23.25,17.7,25.13,2704.3,3011.89,0.18,20.08,33.85,64.05
2026-08-31T06:00:00+00:00,15.34,21.53,17.9,29.75,2732.09,2930.0,0.17,20.14,34.0,63.8
2026-08-31T07:00:00+00:00,15.59,20.49,17.58,25.25,2913.05,3415.98,0.17,20.09,34.62,62.03
2026-08-31T08:00:00+00:00,15.31,21.35,16.97,27.42,3180.65,3673.62,20.93,23.0,35.04,60.99
2026-08-31T09:00:00+00:00,15.16,19.83,16.58,25.52,3436.93,3930.0,0.1,27.09,35.78,58.67
2026-08-31T10:00:00+00:00,15.38,24.63,17.67,28.14,3440.6,3902.25,0.12,34.63,36.31,57.33
2026-08-31T11:00:00+00:00,15.39,21.27,17.87,28.44,3186.25,3541.41,0.14,37.21,37.27,54.58
2026-08-31T12:00:00+00:00,15.38,19.5,17.56,25.63,2875.41,3269.79,0.11,42.42,37.78,53.63
2026-08-31T13:00:00+00:00,15.83,20.99,17.92,25.44,2757.14,3157.83,0.13,46.86,37.88,53.84
2026-08-31T14:00:00+00:00,14.79,20.19,17.27,24.71,2674.28,2918.44,0.21,49.87,37.63,53.65
2026-08-31T15:00:00+00:00,14.7,23.11,16.79,25.01,2706.34,2946.53,0.15,35.19,37.53,54.54
