created_at,o3_analog,pm25_analog,pm10_analog,no2_analog,co_analog
2026-08-30T13:49:00+00:00,500,120,130,5,3045
2026-08-30T13:50:00+00:00,599,147,163,0,3038
2026-08-30T13:51:00+00:00,498,145,143,0,3079
2026-08-30T13:52:00+00:00,500,131,112,5,3009
2026-08-30T13:53:00+00:00,610,152,141,1,3008
2026-08-30T13:54:00+00:00,497,136,147,2,3090
2026-08-30T13:55:00+00:00,617,161,170,1,3077
2026-08-30T13:56:00+00:00,621,158,167,1,3025
2026-08-30T13:57:00+00:00,500,122,114,4,2992
2026-08-30T13:58:00+00:00,497,129,130,1,3025
2026-08-30T13:59:00+00:00,622,153,187,1,2975
2026-08-30T14:00:00+00:00,495,130,143,0,3059
2026-08-30T14:01:00+00:00,617,141,156,2,2976
2026-08-30T14:02:00+00:00,568,149,131,0,3041
2026-08-30T14:03:00+00:00,564,165,157,0,3083
2026-08-30T14:04:00+00:00,498,117,140,2,3014
2026-08-30T14:05:00+00:00,617,154,150,2,3043
2026-08-30T14:06:00+00:00,497,154,162,0,3055
2026-08-30T14:07:00+00:00,500,145,127,0,3018
2026-08-30T14:08:00+00:00,500,119,131,1,3095
2026-08-30T14:09:00+00:00,497,166,172,0,3048
2026-08-30T14:10:00+00:00,617,125,119,0,3081
2026-08-30T14:11:00+00:00,573,140,159,0,3054
2026-08-30T14:12:00+00:00,584,149,150,1,3043
2026-08-30T14:13:00+00:00,496,126,115,0,3062
2026-08-30T14:14:00+00:00,500,131,129,2,3059
2026-08-30T14:15:00+00:00,592,120,149,1,3010
2026-08-30T14:16:00+00:00,496,126,134,10,3051
2026-08-30T14:17:00+00:00,568,146,163,1,2994
2026-08-30T14:18:00+00:00,498,141,156,1,3038
2026-08-30T14:19:00+00:00,498,145,152,1,3031
2026-08-30T14:20:00+00:00,595,127,127,9,3029
2026-08-30T14:21:00+00:00,586,143,132,1,3038
2026-08-30T14:22:00+00:00,596,105,129,0,3043
2026-08-30T14:23:00+00:00,497,160,150,6,3014
2026-08-30T14:24:00+00:00,597,142,126,0,3062
2026-08-30T14:25:00+00:00,498,150,151,11,3056
2026-08-30T14:26:00+00:00,596,143,141,0,2991
2026-08-30T14:27:00+00:00,497,141,120,1,3026
2026-08-30T14:28:00+00:00,500,151,157,0,3001
2026-08-30T14:29:00+00:00,497,143,149,0,3104
2026-08-30T14:30:00+00:00,570,136,146,1,3001
2026-08-30T14:31:00+00:00,501,142,156,0,2970
2026-08-30T14:32:00+00:00,601,146,143,3,3017
2026-08-30T14:33:00+00:00,566,166,176,2,3013
2026-08-30T14:34:00+00:00,564,123,115,0,3084
2026-08-30T14:35:00+00:00,574,157,154,8,3071
2026-08-30T14:36:00+00:00,500,131,143,0,3078
2026-08-30T14:37:00+00:00,573,173,171,0,3086
2026-08-30T14:38:00+00:00,498,153,144,0,3066
2026-08-30T14:39:00+00:00,500,136,111,0,3111
2026-08-30T14:40:00+00:00,497,150,148,0,2997
2026-08-30T14:41:00+00:00,583,155,138,0,2988
2026-08-30T14:42:00+00:00,496,144,165,5,3073
2026-08-30T14:43:00+00:00,568,145,140,5,3036
2026-08-30T14:44:00+00:00,605,146,138,1,3077
2026-08-30T14:45:00+00:00,579,160,149,0,3093
2026-08-30T14:46:00+00:00,583,130,136,4,3032
2026-08-30T14:47:00+00:00,499,155,150,2,3120
2026-08-30T14:48:00+00:00,608,132,122,0,3058
2026-08-30T14:49:00+00:00,497,149,164,2,3048
2026-08-30T14:50:00+00:00,564,148,139,1,3078
2026-08-30T14:51:00+00:00,499,141,138,2,3023
2026-08-30T14:52:00+00:00,588,126,128,2,3036
2026-08-30T14:53:00+00:00,575,148,156,0,3031
2026-08-30T14:54:00+00:00,603,135,125,0,3089
2026-08-30T14:55:00+00:00,496,142,158,12,3012
2026-08-30T14:56:00+00:00,593,152,147,10,3024
2026-08-30T14:57:00+00:00,605,153,144,1,3026
2026-08-30T14:58:00+00:00,584,116,137,0,3060
2026-08-30T14:59:00+00:00,497,154,168,0,3101
2026-08-30T15:00:00+00:00,598,127,133,0,3001
2026-08-30T15:01:00+00:00,498,125,107,1,2981
2026-08-30T15:02:00+00:00,557,142,175,0,3058
2026-08-30T15:03:00+00:00,498,144,151,0,3055
2026-08-30T15:04:00+00:00,567,133,133,2,2997
2026-08-30T15:05:00+00:00,561,161,155,0,3008
2026-08-30T15:06:00+00:00,580,152,144,17,3103
2026-08-30T15:07:00+00:00,501,139,129,0,3039
2026-08-30T15:08:00+00:00,499,140,147,0,3026
2026-08-30T15:09:00+00:00,590,164,171,0,3034
2026-08-30T15:10:00+00:00,564,147,167,0,3087
2026-08-30T15:11:00+00:00,498,186,168,0,2911
2026-08-30T15:12:00+00:00,498,133,163,1,3015
2026-08-30T15:13:00+00:00,499,120,129,0,3036
2026-08-30T15:14:00+00:00,586,123,119,2,3035
2026-08-30T15:15:00+00:00,498,122,128,0,3013
2026-08-30T15:16:00+00:00,499,134,140,3,3062
2026-08-30T15:17:00+00:00,500,142,132,2,3078
2026-08-30T15:18:00+00:00,500,126,118,0,3052
2026-08-30T15:19:00+00:00,499,158,147,1,3079
2026-08-30T15:20:00+00:00,596,139,143,0,2998
2026-08-30T15:21:00+00:00,495,138,137,5,3032
2026-08-30T15:22:00+00:00,497,147,156,2,3062
2026-08-30T15:23:00+00:00,596,120,107,0,3054
2026-08-30T15:24:00+00:00,500,145,153,0,3018
2026-08-30T15:25:00+00:00,497,144,136,2,3086
2026-08-30T15:26:00+00:00,591,117,100,1,3145
2026-08-30T15:27:00+00:00,587,145,150,8,3024
2026-08-30T15:28:00+00:00,575,141,140,7,3026
2026-08-30T15:29:00+00:00,571,121,126,10,3062
2026-08-30T15:30:00+00:00,496,142,145,0,3089
2026-08-30T15:31:00+00:00,499,122,114,6,3042
2026-08-30T15:32:00+00:00,499,102,116,2,3040
2026-08-30T15:33:00+00:00,495,142,131,2,3071
2026-08-30T15:34:00+00:00,581,117,122,2,3020
2026-08-30T15:35:00+00:00,498,141,147,0,3092
2026-08-30T15:36:00+00:00,498,152,160,2,3050
2026-08-30T15:37:00+00:00,497,167,164,2,3059
2026-08-30T15:38:00+00:00,581,146,144,1,2994
2026-08-30T15:39:00+00:00,499,135,141,0,3090
2026-08-30T15:40:00+00:00,575,134,145,0,3002
2026-08-30T15:41:00+00:00,498,128,133,2,3020
2026-08-30T15:42:00+00:00,557,141,145,1,2994
2026-08-30T15:43:00+00:00,498,126,143,0,3104
2026-08-30T15:44:00+00:00,498,138,131,1,3073
2026-08-30T15:45:00+00:00,572,148,152,0,3049
2026-08-30T15:46:00+00:00,497,152,147,1,3089
2026-08-30T15:47:00+00:00,496,157,153,0,3059
2026-08-30T15:48:00+00:00,553,155,153,2,3010
2026-08-30T15:49:00+00:00,559,167,161,8,3022
2026-08-30T15:50:00+00:00,500,158,170,0,3049
2026-08-30T15:51:00+00:00,501,121,148,0,3048
2026-08-30T15:52:00+00:00,497,130,127,15,2995
2026-08-30T15:53:00+00:00,499,141,140,1,3070
2026-08-30T15:54:00+00:00,497,147,163,1,3039
2026-08-30T15:55:00+00:00,498,144,149,2,3080
2026-08-30T15:56:00+00:00,497,126,134,7,3008
2026-08-30T15:57:00+00:00,577,148,150,1,3058
2026-08-30T15:58:00+00:00,496,147,140,0,3062
2026-08-30T15:59:00+00:00,552,139,141,0,3008
2026-08-30T16:00:00+00:00,498,138,124,10,3074
2026-08-30T16:01:00+00:00,498,147,141,0,3083
2026-08-30T16:02:00+00:00,561,155,138,1,3019
2026-08-30T16:03:00+00:00,563,162,183,0,3069
2026-08-30T16:04:00+00:00,496,172,156,0,3095
2026-08-30T16:05:00+00:00,497,142,161,1,3053
2026-08-30T16:06:00+00:00,495,138,152,0,3046
2026-08-30T16:07:00+00:00,498,133,149,1,3013
2026-08-30T16:08:00+00:00,551,134,164,0,3144
2026-08-30T16:09:00+00:00,500,141,132,2,3019
2026-08-30T16:10:00+00:00,496,107,111,18,3117
2026-08-30T16:11:00+00:00,542,146,166,1,3075
2026-08-30T16:12:00+00:00,541,148,146,0,3064
2026-08-30T16:13:00+00:00,496,175,178,1,3064
2026-08-30T16:14:00+00:00,497,140,171,0,3108
2026-08-30T16:15:00+00:00,498,128,121,9,3120
2026-08-30T16:16:00+00:00,565,135,120,3,3063
