created_at,pm25_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,o3_ugm3,temperature,humidity
2026-08-30T13:49:00+00:00,11.31,14.87,2682.45,0.42,20.61,38.99,48.4
2026-08-30T13:50:00+00:00,16.18,21.71,2673.63,0.0,73.92,36.95,52.98
2026-08-30T13:51:00+00:00,15.33,17.59,2818.74,0.0,21.04,37.3,52.37
2026-08-30T13:52:00+00:00,13.2,9.97,2548.78,0.43,21.05,38.5,49.88
2026-08-30T13:53:00+00:00,16.7,17.53,2537.62,0.0,80.64,38.24,53.81
2026-08-30T13:54:00+00:00,13.81,18.7,2898.32,0.0,19.87,39.38,49.51
2026-08-30T13:55:00+00:00,18.81,23.18,2836.53,0.26,85.93,38.1,54.01
2026-08-30T13:56:00+00:00,17.89,23.0,2593.85,0.0,86.97,38.89,50.84
2026-08-30T13:57:00+00:00,11.93,10.17,2476.19,0.13,20.4,37.75,57.04
2026-08-30T13:58:00+00:00,13.16,13.91,2619.71,0.0,20.72,38.07,51.44
2026-08-30T13:59:00+00:00,17.01,27.96,2440.41,0.0,86.91,38.25,50.87
2026-08-30T14:00:00+00:00,13.12,17.95,2725.39,0.0,19.96,39.31,51.36
2026-08-30T14:01:00+00:00,14.95,20.08,2414.95,0.0,85.91,37.71,53.35
2026-08-30T14:02:00+00:00,16.57,14.29,2683.37,0.0,57.01,37.55,53.63
2026-08-30T14:03:00+00:00,19.32,21.28,2835.91,0.0,56.92,37.53,58.45
2026-08-30T14:04:00+00:00,10.5,16.52,2584.74,0.0,19.83,36.67,58.24
2026-08-30T14:05:00+00:00,17.63,19.08,2676.09,0.0,85.33,38.04,55.63
2026-08-30T14:06:00+00:00,17.64,21.66,2719.76,0.0,20.64,38.22,52.21
2026-08-30T14:07:00+00:00,15.73,14.24,2582.03,0.0,20.59,38.68,44.41
2026-08-30T14:08:00+00:00,11.35,14.75,2916.99,0.0,20.7,37.26,61.77
2026-08-30T14:09:00+00:00,19.15,23.76,2693.71,0.0,20.63,37.23,51.39
2026-08-30T14:10:00+00:00,11.88,11.97,2847.13,0.0,83.9,38.14,53.24
2026-08-30T14:11:00+00:00,15.3,20.95,2733.59,0.0,62.22,38.33,49.9
2026-08-30T14:12:00+00:00,16.35,18.66,2691.14,0.0,65.9,38.16,47.43
2026-08-30T14:13:00+00:00,12.33,11.1,2774.36,0.01,20.11,37.44,54.05
2026-08-30T14:14:00+00:00,12.96,13.69,2750.34,0.0,21.05,37.64,56.77
2026-08-30T14:15:00+00:00,11.14,19.1,2562.0,0.0,72.26,36.8,53.71
2026-08-30T14:16:00+00:00,12.67,15.5,2692.78,0.92,20.61,38.04,53.74
2026-08-30T14:17:00+00:00,16.01,21.59,2485.77,0.0,59.39,38.97,51.87
2026-08-30T14:18:00+00:00,15.38,20.16,2672.83,0.0,20.43,36.41,56.54
2026-08-30T14:19:00+00:00,16.13,19.59,2638.43,0.0,20.87,36.89,53.67
2026-08-30T14:20:00+00:00,12.9,14.05,2614.02,0.61,73.66,36.88,54.68
2026-08-30T14:21:00+00:00,15.36,14.88,2660.49,0.0,66.74,36.21,66.08
2026-08-30T14:22:00+00:00,8.82,14.15,2665.64,0.0,73.48,37.08,56.64
