created_at,pm2_5_ispu,pm10_ispu,co_ispu,no2_ispu,o3_ispu
2026-08-30T13:49:00+00:00,36.48,14.87,33.53,0.26,8.59
2026-08-30T13:50:00+00:00,50.85,21.71,33.42,0.0,30.8
2026-08-30T13:51:00+00:00,49.45,17.59,35.23,0.0,8.77
2026-08-30T13:52:00+00:00,42.58,9.97,31.86,0.27,8.77
2026-08-30T13:53:00+00:00,51.5,17.53,31.72,0.0,33.6
2026-08-30T13:54:00+00:00,44.55,18.7,36.23,0.0,8.28
2026-08-30T13:55:00+00:00,54.15,23.18,35.46,0.16,35.8
2026-08-30T13:56:00+00:00,52.99,23.0,32.42,0.0,36.24
2026-08-30T13:57:00+00:00,38.48,10.17,30.95,0.08,8.5
2026-08-30T13:58:00+00:00,42.45,13.91,32.75,0.0,8.63
2026-08-30T13:59:00+00:00,51.89,27.96,30.51,0.0,36.21
2026-08-30T14:00:00+00:00,42.32,17.95,34.07,0.0,8.32
2026-08-30T14:01:00+00:00,48.23,20.08,30.19,0.0,35.8
2026-08-30T14:02:00+00:00,51.34,14.29,33.54,0.0,23.75
2026-08-30T14:03:00+00:00,54.79,21.28,35.45,0.0,23.72
2026-08-30T14:04:00+00:00,33.87,16.52,32.31,0.0,8.26
2026-08-30T14:05:00+00:00,52.67,19.08,33.45,0.0,35.55
2026-08-30T14:06:00+00:00,52.68,21.66,34.0,0.0,8.6
2026-08-30T14:07:00+00:00,50.29,14.24,32.28,0.0,8.58
2026-08-30T14:08:00+00:00,36.61,14.75,36.46,0.0,8.62
2026-08-30T14:09:00+00:00,54.57,23.76,33.67,0.0,8.6
2026-08-30T14:10:00+00:00,38.32,11.97,35.59,0.0,34.96
2026-08-30T14:11:00+00:00,49.35,20.95,34.17,0.0,25.93
2026-08-30T14:12:00+00:00,51.07,18.66,33.64,0.0,27.46
2026-08-30T14:13:00+00:00,39.77,11.1,34.68,0.01,8.38
2026-08-30T14:14:00+00:00,41.81,13.69,34.38,0.0,8.77
2026-08-30T14:15:00+00:00,35.94,19.1,32.02,0.0,30.11
2026-08-30T14:16:00+00:00,40.87,15.5,33.66,0.58,8.59
2026-08-30T14:17:00+00:00,50.64,21.59,31.07,0.0,24.75
2026-08-30T14:18:00+00:00,49.61,20.16,33.41,0.0,8.51
2026-08-30T14:19:00+00:00,50.79,19.59,32.98,0.0,8.7
2026-08-30T14:20:00+00:00,41.61,14.05,32.68,0.38,30.69
2026-08-30T14:21:00+00:00,49.55,14.88,33.26,0.0,27.81
2026-08-30T14:22:00+00:00,28.45,14.15,33.32,0.0,30.62
2026-08-30T14:23:00+00:00,53.98,18.88,32.23,0.22,8.78
2026-08-30T14:24:00+00:00,47.94,13.4,34.27,0.0,30.8
2026-08-30T14:25:00+00:00,51.79,19.55,33.89,0.53,8.33
2026-08-30T14:26:00+00:00,49.77,16.66,30.85,0.0,30.42
2026-08-30T14:27:00+00:00,47.94,11.69,32.67,0.0,8.66
2026-08-30T14:28:00+00:00,52.16,20.76,31.45,0.0,8.77
2026-08-30T14:29:00+00:00,49.16,18.55,37.08,0.0,8.21
2026-08-30T14:30:00+00:00,45.68,17.96,31.37,0.0,24.36
2026-08-30T14:31:00+00:00,48.13,20.15,29.97,0.0,8.69
2026-08-30T14:32:00+00:00,50.41,17.99,32.03,0.2,31.95
2026-08-30T14:33:00+00:00,55.43,25.19,31.95,0.0,23.73
2026-08-30T14:34:00+00:00,37.77,11.19,35.94,0.0,23.88
2026-08-30T14:35:00+00:00,52.81,20.08,34.81,0.49,25.67
2026-08-30T14:36:00+00:00,42.71,17.43,35.02,0.0,8.48
2026-08-30T14:37:00+00:00,56.69,24.37,35.81,0.0,25.45
2026-08-30T14:38:00+00:00,52.07,17.67,34.58,0.0,8.35
2026-08-30T14:39:00+00:00,45.26,10.12,36.88,0.0,8.46
2026-08-30T14:40:00+00:00,51.6,18.08,31.2,0.0,8.77
2026-08-30T14:41:00+00:00,52.23,16.49,31.04,0.0,27.4
2026-08-30T14:42:00+00:00,50.6,22.21,34.83,0.29,8.39
2026-08-30T14:43:00+00:00,49.55,16.86,33.25,0.32,24.53
2026-08-30T14:44:00+00:00,51.0,16.0,35.23,0.0,33.19
2026-08-30T14:45:00+00:00,53.52,19.43,35.85,0.0,26.22
2026-08-30T14:46:00+00:00,43.26,16.28,33.11,0.28,27.36
2026-08-30T14:47:00+00:00,52.63,19.55,37.55,0.0,8.75
2026-08-30T14:48:00+00:00,42.39,12.51,34.42,0.0,33.67
2026-08-30T14:49:00+00:00,51.27,21.92,33.91,0.0,8.42
2026-08-30T14:50:00+00:00,51.35,16.74,35.12,0.0,23.46
2026-08-30T14:51:00+00:00,49.65,16.08,32.38,0.19,8.53
2026-08-30T14:52:00+00:00,40.58,13.73,33.08,0.0,29.24
2026-08-30T14:53:00+00:00,51.34,20.75,32.98,0.0,26.07
2026-08-30T14:54:00+00:00,45.48,12.95,35.83,0.0,32.15
2026-08-30T14:55:00+00:00,48.71,20.4,31.98,0.59,8.47
2026-08-30T14:56:00+00:00,51.94,18.37,32.5,0.41,30.0
2026-08-30T14:57:00+00:00,52.13,17.74,32.77,0.0,32.86
2026-08-30T14:58:00+00:00,34.19,16.22,34.37,0.0,27.8
2026-08-30T14:59:00+00:00,52.56,22.86,36.5,0.0,8.66
2026-08-30T15:00:00+00:00,40.06,14.89,31.38,0.0,30.58
2026-08-30T15:01:00+00:00,38.61,9.33,30.71,0.0,8.26
2026-08-30T15:02:00+00:00,49.48,25.47,34.12,0.0,21.95
2026-08-30T15:03:00+00:00,49.13,19.19,34.28,0.0,8.36
2026-08-30T15:04:00+00:00,42.97,14.58,31.12,0.0,23.63
2026-08-30T15:05:00+00:00,53.48,20.37,31.54,0.0,22.64
2026-08-30T15:06:00+00:00,51.8,17.59,36.43,0.89,27.14
2026-08-30T15:07:00+00:00,48.29,13.85,33.3,0.0,8.68
2026-08-30T15:08:00+00:00,48.0,18.03,32.9,0.0,8.58
2026-08-30T15:09:00+00:00,54.79,23.53,32.96,0.0,28.72
2026-08-30T15:10:00+00:00,51.17,23.36,35.69,0.0,23.59
